;Product ID;Attribute;Value;Quantity;Minimal quantity;Low stock level;Image URLs
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Czarny:1*XS:1;1;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-99X-001-1-561847_1.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Czarny:1*S:2;7;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-99X-001-1-561847_1.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Czarny:1*M:3;6;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-99X-001-1-561847_1.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Czarny:1*L:4;8;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-99X-001-1-561847_1.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Czarny:1*XL:5;4;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-99X-001-1-561847_1.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Czarny:1*XXL:6;3;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-99X-001-1-561847_1.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Niebieski:2*XS:1;4;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-59X-001-1-561863.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Niebieski:2*S:2;1;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-59X-001-1-561863.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Niebieski:2*M:3;10;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-59X-001-1-561863.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Niebieski:2*L:4;9;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-59X-001-1-561863.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Niebieski:2*XL:5;7;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-59X-001-1-561863.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Niebieski:2*XXL:6;6;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-59X-001-1-561863.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Kremowy:3*XS:1;5;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-80X-001-1-561855.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Kremowy:3*S:2;10;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-80X-001-1-561855.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Kremowy:3*M:3;9;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-80X-001-1-561855.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Kremowy:3*L:4;2;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-80X-001-1-561855.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Kremowy:3*XL:5;2;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-80X-001-1-561855.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Kremowy:3*XXL:6;6;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-80X-001-1-561855.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Khaki:4*XS:1;7;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-87X-001-1-580603_1.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Khaki:4*S:2;2;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-87X-001-1-580603_1.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Khaki:4*M:3;8;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-87X-001-1-580603_1.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Khaki:4*L:4;8;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-87X-001-1-580603_1.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Khaki:4*XL:5;3;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-87X-001-1-580603_1.jpg
1;2999687;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Khaki:4*XXL:6;10;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/1/8/1821O-87X-001-1-580603_1.jpg
2;2819953;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Czarny:1*XS:1;7;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/0/0/0003J-99X-001-1-397163_1.jpg
2;2819953;Kolor:Kolor lub tekstura:2*Rozmiar:Lista rozwijalna:1;Czarny:1*S:2;5;1;2;https://static.sinsay.com/media/catalog/product/cache/1200/a4e40ebdc3e371adff845072e1c73f37/0/0/0003J-99X-001-1-397163_1.jpg
